Generated by pymatgen.io.lammps.data.LammpsData

144  atoms

  2  atom types

0.000000 5.335009  xlo xhi
0.000000 8.676757  ylo yhi
0.000000 70.662336  zlo zhi

Masses

1  24.305
2  65.409

Atoms

66   2 5.321007 8.621378 34.940811
67   2 1.338231 2.113811 34.160097
68   2 3.968772 2.113811 34.160097
69   2 2.653501 2.113811 31.881982
70   2 1.301269 6.452189 31.101271
71   2 4.005738 6.452189 31.101271
72   2 5.321008 6.452189 33.379386
73   1 2.653502 3.737689 36.480895
74   1 5.321007 4.828311 38.020981
75   1 5.321007 8.076067 38.020981
76   1 2.653502 0.489933 36.480895
77   2 2.653502 4.283000 39.561065
78   2 2.653502 8.621378 39.561065
79   2 4.005735 2.113811 38.780351
80   2 1.301267 2.113811 38.780351
81   2 5.321006 2.113811 36.502236
82   2 3.968774 6.452189 35.721525
83   2 1.338233 6.452189 35.721525
84   2 2.653503 6.452189 37.999640
85   1 5.321006 3.737689 41.101150
86   1 2.653502 4.828311 42.641235
87   1 2.653502 8.076067 42.641235
88   1 5.321006 0.489933 41.101150
89   2 5.321006 4.283000 44.181319
90   2 5.321006 8.621378 44.181319
91   2 1.338230 2.113811 43.400605
92   2 3.968771 2.113811 43.400605
93   2 2.653501 2.113811 41.122490
94   2 1.301269 6.452189 40.341780
95   2 4.005737 6.452189 40.341779
96   2 5.321008 6.452189 42.619895
97   1 2.653501 3.737689 45.721404
98   1 5.321007 4.828311 47.261489
99   1 5.321007 8.076067 47.261489
100  1 2.653501 0.489933 45.721404
101  2 2.653501 4.283000 48.801574
102  2 2.653501 8.621378 48.801574
103  2 4.005735 2.113811 48.020859
104  2 1.301266 2.113811 48.020860
105  2 5.321005 2.113811 45.742744
106  2 3.968773 6.452189 44.962034
107  2 1.338232 6.452189 44.962033
108  2 2.653503 6.452189 47.240149
109  1 5.321006 3.737689 50.341658
110  1 2.653502 4.828311 51.881743
111  1 2.653502 8.076067 51.881743
112  1 5.321006 0.489933 50.341658
113  2 5.321006 4.283000 53.421828
114  2 5.321006 8.621378 53.421828
115  2 1.338230 2.113811 52.641113
116  2 3.968771 2.113811 52.641114
117  2 2.653500 2.113811 50.362998
118  2 1.301268 6.452189 49.582288
119  2 4.005737 6.452189 49.582288
120  2 5.321007 6.452189 51.860403
121  1 2.653501 3.737689 54.961912
122  1 5.321006 4.828311 56.501998
123  1 5.321006 8.076067 56.501998
124  1 2.653501 0.489933 54.961912
125  2 2.653501 4.283000 58.042082
126  2 2.653501 8.621378 58.042082
127  2 4.005734 2.113811 57.261368
128  2 1.301266 2.113811 57.261368
129  2 5.321005 2.113811 54.983253
130  2 3.968773 6.452189 54.202542
131  2 1.338232 6.452189 54.202542
132  2 2.653502 6.452189 56.480657
133  1 5.321005 3.737689 59.582166
134  1 2.653501 4.828311 61.122252
135  1 2.653501 8.076067 61.122252
136  1 5.321005 0.489933 59.582166
137  2 5.321005 4.283000 62.662336
138  2 5.321000 4.283000  7.220000
139  2 1.338229 2.113811 61.881622
140  2 3.968770 2.113811 61.881622
141  2 2.653500 2.113811 59.603507
142  2 1.301268 6.452189 58.822796
143  2 4.005736 6.452189 58.822796
144  2 5.321007 6.452189 61.100911

