#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
     560.000    1551.3835826   2015.7219250   2524.3208966   2680.1878606
     570.000    1531.0015253   2060.6345879   2550.6042145   2705.5632404
     580.000    1510.1719968   2105.2154953   2575.9992413   2731.1969840
     590.000    1488.8983332   2149.4610862   2600.5388689   2757.0803740
     600.000    1467.1839023   2193.3685237   2624.2549881   2783.2050165
     610.000    1445.0320972   2236.9356304   2647.1784723   2809.5628317
     620.000    1422.4463294   2280.1608290   2669.3391700   2836.1460434
     630.000    1399.4300238   2323.0430872   2690.7659053   2862.9471687
     640.000    1375.9866127   2365.5818674   2711.4864840   2889.9590078
     650.000    1352.1195317   2407.7770804   2731.5277057   2917.1746340
     660.000    1327.8322153   2449.6290428   2750.9153793   2944.5873835
     670.000    1303.1280928   2491.1384376   2769.6743427   2972.1908460
     680.000    1278.0105851   2532.3062784   2787.8284844   2999.9788544
     690.000    1252.4831014   2573.1338766   2805.4007681   3027.9454762
     700.000    1226.5490365   2613.6228106   2822.4132580   3056.0850039
     710.000    1200.2117680   2653.7748988   2838.8871458   3084.3919461
     720.000    1173.4746545   2693.5921734   2854.8427783   3112.8610194
     730.000    1146.3410332   2733.0768578   2870.2996855   3141.4871394
     740.000    1118.8142181   2772.2313448   2885.2766090   3170.2654132
     750.000    1090.8974985   2811.0581775   2899.7915300   3199.1911316
     760.000    1062.5941378   2849.5600311   2913.8616974   3228.2597614
     770.000    1033.9073719   2887.7396967   2927.5036561   3257.4669383
     780.000    1004.8404082   2925.6000666   2940.7332734   3286.8084601
     790.000     975.3964249   2963.1441205   2953.5657664   3316.2802801
     800.000     945.5785700   3000.3749130   2966.0157276   3345.8785004
     810.000     915.3899605   3037.2955627   2978.0971508   3375.5993662
     820.000     884.8336820   3073.9092412   2989.8234552   3405.4392598
     830.000     853.9127882   3110.2191643   3001.2075097   3435.3946946
     840.000     822.6303004   3146.2285833   3012.2616556   3465.4623103
     850.000     790.9892073   3181.9407768   3022.9977295   3495.6388675
     860.000     758.9924646   3217.3590441   3033.4270841   3525.9212426
     870.000     726.6429951   3252.4866989   3043.5606094   3556.3064231
     880.000     693.9436883   3287.3270628   3053.4087522   3586.7915035
     890.000     660.8974004   3321.8834606   3062.9815357   3617.3736804
     900.000     627.5069545   3356.1592155   3072.2885773   3648.0502485
     910.000     593.7751405   3390.1576444   3081.3391065   3678.8185969
     920.000     559.7047150   3423.8820545   3090.1419819   3709.6762051
     930.000     525.2984018   3457.3357394   3098.7057069   3740.6206394
     940.000     490.5588917   3490.5219762   3107.0384455   3771.6495493
     950.000     455.4888429   3523.4440227   3115.1480369   3802.7606645
     960.000     420.0908811   3556.1051149   3123.0420098   3833.9517914
     970.000     384.3675998   3588.5084643   3130.7275959   3865.2208101
     980.000     348.3215603   3620.6572567   3138.2117424   3896.5656719
     990.000     311.9552926   3652.5546497   3145.5011251   3927.9843958
    1000.000     275.2712949   3684.2037717   3152.6021594   3959.4750666
