LAMMPS (2 Aug 2023 - Update 2)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  triclinic box = (0 0 0) to (52.241956 22.62143 51.148607) with tilt (-13.060489 0 0)
WARNING: Triclinic box skew is large. LAMMPS will run inefficiently. (src/domain.cpp:220)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  2208 atoms
  reading velocities ...
  2208 velocities
  read_data CPU = 0.049 seconds
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 8
  ghost atom cutoff = 8
  binsize = 4, bins = 17 6 13
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair meam, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
  (2) pair meam, perpetual, half/full from (1)
      attributes: half, newton on
      pair build: halffull/newton
      stencil: none
      bin: none
Setting up cg style minimization ...
  Unit style    : metal
  Current step  : 0
WARNING: Energy due to 3 extra global DOFs will be included in minimizer energies
 (src/min.cpp:228)
Per MPI rank memory allocation (min/avg/max) = 14.58 | 14.58 | 14.58 Mbytes
   Step         PotEng         TotEng          Fmax          Press          Volume    
      1380  -2817.5702     -2817.5702      0.22095221    -856.32792      58606.422    
      1390  -2817.729      -2817.729       0.20295198    -843.61018      58605.605    
      1400  -2817.8985     -2817.8985      0.1824341     -790.43237      58598.862    
      1410  -2818.136      -2818.136       0.15640431    -742.66766      58593.928    
      1420  -2818.2864     -2818.2864      0.14930449    -718.18659      58591.959    
      1430  -2818.4042     -2818.4042      0.14323901    -652.44502      58583.303    
      1440  -2818.4198     -2818.4198      0.14238984    -603.09163      58575.877    
      1450  -2818.4703     -2818.4703      0.13998214    -679.2337       58587.927    
      1460  -2818.4807     -2818.4807      0.13928347    -620.48427      58579.025    
      1470  -2818.5029     -2818.5029      0.13818482    -615.88553      58578.507    
      1480  -2818.5185     -2818.5185      0.13751782    -689.5891       58589.918    
      1490  -2818.5467     -2818.5467      0.13584949    -640.95616      58582.724    
      1500  -2818.5646     -2818.5646      0.134955      -646.99829      58583.809    
      1510  -2818.5758     -2818.5758      0.13424478    -624.56953      58580.48     
      1520  -2818.5918     -2818.5918      0.13350375    -660.43924      58586.118    
      1530  -2818.6097     -2818.6097      0.13230694    -576.25337      58573.414    
      1540  -2818.6192     -2818.6192      0.13178016    -608.31228      58578.403    
      1550  -2818.6449     -2818.6449      0.13017678    -577.17628      58573.895    
      1560  -2818.6647     -2818.6647      0.12908491    -594.74847      58576.778    
