#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
     780.000    1146.6048086   6454.5760625   5935.6438607   6181.1741374
     790.000    1081.6797277   6530.3235352   5956.4827874   6240.6353205
     800.000    1016.0006538   6605.3762286   5976.6747477   6300.3016367
     810.000     949.5744878   6679.7435245   5996.2448159   6360.1667426
     820.000     882.4080368   6753.4347599   6015.2169437   6420.2245400
     830.000     814.5080152   6826.4592163   6033.6140143   6480.4691647
     840.000     745.8810444   6898.8261095   6051.4578941   6540.8949764
     850.000     676.5336544   6970.5445812   6068.7694821   6601.4965484
     860.000     606.4722840   7041.6236913   6085.5687565   6662.2686584
     870.000     535.7032818   7112.0724112   6101.8748194   6723.2062796
     880.000     464.2329074   7181.8996186   6117.7059389   6784.3045718
     890.000     392.0673319   7251.1140917   6133.0795897   6845.5588735
     900.000     319.2126391   7319.7245060   6148.0124909   6906.9646945
     910.000     245.6748267   7387.7394295   6162.5206424   6968.5177076
     920.000     171.4598073   7455.1673210   6176.6193596   7030.2137426
     930.000      96.5734093   7522.0165266   6190.3233059   7092.0487790
     940.000      21.0213783   7588.2952781   6203.6465236   7154.0189397
     950.000     -55.1906219   7654.0116917   6216.6024639   7216.1204852
     960.000    -132.0570078   7719.1737662   6229.2040146   7278.3498077
     970.000    -209.5722757   7783.7893826   6241.4635264   7340.7034255
     980.000    -287.7309998   7847.8663035   6253.3928389   7403.1779777
     990.000    -366.5278316   7911.4121728   6265.0033038   7465.7702195
    1000.000    -445.9574982   7974.4345154   6276.3058079   7528.4770172
